id;customs_broker_name;customs_contact_name;customs_currency;customs_phone_number;customs_value;from_airport_code;from_location_type;job_content_descr;ship_quantity;job_original_cost;quoted_amount;assign_to;to_company;to_location_type;date_created;job_number;job_customer;service_type;job_sales;job_deadline_time;job_time_zone;shipping_date;shipping_time;insurance_type;is_storage;is_pick_pack;ship_total_weight;shipment_currency;shipment_metric;wo_request_type
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;83244;red Chips Soap;30424;61165;Grocery Home;Investment Account Steel;Coordinator;23277;2019-05-06T23:51:00;bluetooth;syndicate;98323;Canyon HDD;68030;17052;2019-05-06T23:59:02;6505;1326;true;true;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;83319
2;Salad;Digitized invoice;convergence;Mayotte;18485;Facilitator;77513;Markets Chief;59789;72727;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;27599;2019-05-07T07:24:49;back-end;Industrial;42340;reinvent 24 hour Jewelery;19884;70685;2019-05-06T17:43:25;72900;79017;true;true;Identity;Frozen IB;Highway Ergonomic;37081
3;Lempira;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;49379;Poland;42754;Grocery;10789;20171;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;2019-05-07T05:18:16;Generic neutral Salad;Auto Loan Account modular Refined;45653;mint green e-business EXE;32434;80744;2019-05-07T07:51:56;89609;35629;false;true;contextually-based;synergies copying;ability Hat Iraq;48482
4;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;96244;Quality-focused;49724;capability zero tolerance Computers;60956;97661;paradigms Home;Investor Public-key;Lebanon;44778;2019-05-06T11:08:25;Persistent Bulgarian Lev;24/7 Re-contextualized cross-platform;47030;Orchestrator deliver;81643;9028;2019-05-06T15:38:08;83530;15071;false;true;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617
5;Quality;synthesize Creative;Forint;Concrete Global SMS;25794;deposit;81722;Macao Equatorial Guinea Vision-oriented;9310;96541;Virginia THX pink;cross-media;programming SCSI drive;88777;2019-05-06T19:23:13;Unbranded Cheese Dynamic;Alabama transform;94013;Supervisor clear-thinking;30536;54873;2019-05-06T23:08:28;69189;44842;true;true;Fish;Networked;Fish;36646
6;program alarm;Nevada;Berkshire;dedicated Persevering;97301;target Human withdrawal;79481;Borders North Dakota;49251;86416;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;27956;2019-05-06T12:50:21;out-of-the-box Automotive Tactics;Venezuela Wisconsin;98033;Incredible functionalities fuchsia;26847;31692;2019-05-06T23:08:57;16949;37268;true;false;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;70891
7;France protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit;70196;auxiliary Human;33799;incubate;9398;43847;Argentine Peso implementation;Wallis and Futuna;generating;86040;2019-05-07T10:03:49;Small Fresh Gloves;Brunei Darussalam interface;82786;composite Orchestrator Club;84202;5168;2019-05-07T06:07:50;53135;41135;true;true;Metal Frozen;Buckinghamshire alliance redundant;content;74404
8;Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;71459;invoice;27993;Operations alarm;55435;43567;system Gorgeous Rubber Pants;hack;leading-edge;9179;2019-05-07T09:41:30;Incredible Fresh Chips;Shoes Music connect;80691;e-business Light;64977;39850;2019-05-07T09:38:32;61585;94914;true;true;explicit;Personal Loan Account;Cambridgeshire Norfolk Island;68396
9;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;54561;Web revolutionize Branding;90535;black;6936;21458;utilize;Generic;robust withdrawal generate;68161;2019-05-07T10:14:14;open-source hybrid;Solomon Islands Dollar;34833;Accountability Handmade Cotton Bacon;96758;28203;2019-05-06T21:38:40;17743;42347;true;true;Wyoming interface Cotton;quantify;JSON Texas;23859
10;Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;38920;Industrial;90538;Fantastic time-frame Quality;95060;48252;Borders Practical;methodical;Pakistan;21272;2019-05-06T16:44:20;neural back-end Unbranded;Associate Designer;5587;circuit Guam;70583;11706;2019-05-06T11:32:54;14299;68803;true;true;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;58130
